"Titre de tracé : 20347223"
"Date";"Heure, GMT+02:00";"Temp., °C (LGR S/N: 20347223, SEN S/N: 20347223)";"Coupleur attaché (LGR S/N: 20347223)";"Hôte connecté (LGR S/N: 20347223)";"Arrêté (LGR S/N: 20347223)";"Fin de fichier (LGR S/N: 20347223)"
2022-07-28;12:00:00;24,158;;;;
2022-07-28;12:00:10;23,773;;;;
2022-07-28;12:00:20;23,388;;;;
2022-07-28;12:00:30;23,100;;;;
2022-07-28;12:00:40;22,812;;;;
2022-07-28;12:00:50;22,621;;;;
2022-07-28;12:01:00;22,333;;;;
2022-07-28;12:01:10;22,142;;;;
2022-07-28;12:01:20;21,951;;;;
2022-07-28;12:01:30;22,333;;;;
2022-07-28;12:01:40;22,429;;;;
2022-07-28;12:01:50;22,429;;;;
2022-07-28;12:02:00;22,525;;;;
2022-07-28;12:02:10;22,717;;;;
2022-07-28;12:02:20;22,525;;;;
2022-07-28;12:02:30;22,429;;;;
2022-07-28;12:02:40;22,142;;;;
2022-07-28;12:02:50;22,429;;;;
2022-07-28;12:03:00;22,429;;;;
2022-07-28;12:03:10;22,046;;;;
2022-07-28;12:03:20;21,664;;;;
2022-07-28;12:03:30;22,238;;;;
2022-07-28;12:03:40;22,621;;;;
2022-07-28;12:03:50;22,717;;;;
2022-07-28;12:04:00;22,908;;;;
2022-07-28;12:04:10;22,812;;;;
2022-07-28;12:04:20;22,908;;;;
2022-07-28;12:04:30;22,908;;;;
2022-07-28;12:04:40;22,621;;;;
2022-07-28;12:04:50;22,717;;;;
2022-07-28;12:05:00;22,333;;;;
2022-07-28;12:05:10;22,046;;;;
2022-07-28;12:05:20;21,664;;;;
2022-07-28;12:05:30;21,282;;;;
2022-07-28;12:05:40;21,378;;;;
2022-07-28;12:05:50;21,569;;;;
2022-07-28;12:06:00;21,091;;;;
2022-07-28;12:06:10;21,187;;;;
2022-07-28;12:06:20;21,664;;;;
2022-07-28;12:06:30;21,091;;;;
2022-07-28;12:06:40;21,282;;;;
2022-07-28;12:06:50;21,187;;;;
2022-07-28;12:07:00;21,378;;;;
2022-07-28;12:07:10;21,664;;;;
2022-07-28;12:07:20;21,951;;;;
2022-07-28;12:07:30;21,760;;;;
2022-07-28;12:07:40;21,951;;;;
2022-07-28;12:07:50;22,238;;;;
2022-07-28;12:08:00;22,333;;;;
2022-07-28;12:08:10;22,333;;;;
2022-07-28;12:08:20;22,238;;;;
2022-07-28;12:08:30;22,429;;;;
2022-07-28;12:08:40;22,525;;;;
2022-07-28;12:08:50;22,621;;;;
2022-07-28;12:09:00;22,812;;;;
2022-07-28;12:09:10;22,717;;;;
2022-07-28;12:09:20;22,621;;;;
2022-07-28;12:09:30;22,525;;;;
2022-07-28;12:09:40;22,525;;;;
2022-07-28;12:09:50;22,142;;;;
2022-07-28;12:10:00;21,951;;;;
2022-07-28;12:10:10;21,664;;;;
2022-07-28;12:10:20;21,282;;;;
2022-07-28;12:10:30;20,901;;;;
2022-07-28;12:10:40;20,615;;;;
2022-07-28;12:10:50;20,710;;;;
2022-07-28;12:11:00;21,378;;;;
2022-07-28;12:11:10;21,664;;;;
2022-07-28;12:11:20;22,333;;;;
2022-07-28;12:11:30;22,525;;;;
2022-07-28;12:11:40;22,333;;;;
2022-07-28;12:11:50;21,951;;;;
2022-07-28;12:12:00;21,760;;;;
2022-07-28;12:12:10;21,855;;;;
2022-07-28;12:12:20;22,046;;;;
2022-07-28;12:12:30;22,238;;;;
2022-07-28;12:12:40;22,429;;;;
2022-07-28;12:12:50;22,621;;;;
2022-07-28;12:13:00;22,717;;;;
2022-07-28;12:13:10;22,812;;;;
2022-07-28;12:13:20;22,812;;;;
2022-07-28;12:13:30;22,717;;;;
2022-07-28;12:13:40;22,812;;;;
